DSEX,Date,Open,High,Low,Close,64248935
DSEX,10/02/2014,5153.26,5250.81,5153.26,5237.72,241442022
DSEX,10/12/2014,5237.72,5343.84,5237.72,5334.03,274200607
DSEX,10/13/2014,5334.03,5368.01,5290.07,5309.24,254474319
DSEX,10/14/2014,5309.24,5358.90,5283.28,5292.60,253511909
DSEX,10/15/2014,5292.60,5360.54,5292.60,5315.11,222271928
DSEX,10/16/2014,5315.11,5330.07,5270.24,5285.83,174887961
DSEX,10/19/2014,5285.83,5311.03,5176.75,5176.75,150061935
DSEX,10/20/2014,5176.75,5224.80,5122.29,5144.50,135852190
DSEX,10/21/2014,5144.50,5251.48,5144.50,5233.82,150526294
DSEX,10/22/2014,5233.82,5239.46,5170.15,5170.15,162803127
DSEX,10/23/2014,5170.15,5195.83,5147.23,5154.10,114045342
DSEX,10/26/2014,5154.10,5176.86,5111.37,5111.63,114481703
DSEX,10/27/2014,5111.63,5167.98,5097.66,5157.24,100921013
DSEX,10/28/2014,5157.24,5193.45,5123.75,5128.84,108823497
DSEX,10/29/2014,5128.84,5138.96,5109.42,5109.42,124330673
DSEX,10/30/2014,5109.42,5188.97,5109.42,5173.23,179278407
DSEX,11/02/2014,5173.23,5199.34,5105.22,5105.22,164480670
DSEX,11/03/2014,5105.22,5120.17,5065.14,5065.14,153920360
DSEX,11/05/2014,5065.14,5083.42,5017.02,5017.22,165270829
DSEX,11/06/2014,5017.22,5067.30,5017.22,5025.10,138541292
DSEX,11/09/2014,5025.10,5029.58,4938.65,4938.65,192425948
DSEX,11/10/2014,4938.65,4986.71,4914.71,4914.71,159737350
DSEX,11/11/2014,4914.71,4949.97,4914.71,4934.78,155281413
DSEX,11/12/2014,4934.78,5017.19,4934.78,5005.65,180671617
DSEX,11/13/2014,5005.65,5045.94,4984.46,4984.46,152814224
DSEX,11/16/2014,4984.46,5012.71,4963.89,4963.89,152839060
DSEX,11/17/2014,4963.89,4988.24,4917.42,4917.42,133562853
DSEX,11/18/2014,4917.42,4950.79,4898.82,4898.82,122641620
DSEX,11/19/2014,4898.82,4965.71,4898.82,4926.23,127187909
DSEX,11/20/2014,4926.23,4948.02,4889.25,4899.60,104625973
DSEX,11/23/2014,4899.60,4909.02,4838.11,4838.11,77495743
DSEX,11/24/2014,4838.11,4843.91,4768.90,4768.90,77245364
DSEX,11/25/2014,4768.90,4837.35,4768.90,4804.45,79079814
DSEX,11/26/2014,4804.45,4837.58,4756.61,4756.61,74707043
DSEX,11/27/2014,4756.61,4792.28,4754.62,4772.55,65619204
DSEX,11/30/2014,4772.55,4796.21,4757.69,4769.42,56602650
DSEX,12/01/2014,4769.42,4885.64,4769.42,4868.64,85298535
DSEX,12/02/2014,4868.64,4947.40,4868.64,4932.89,85315064
DSEX,12/03/2014,4932.89,5002.18,4932.89,4992.00,122275154
DSEX,12/04/2014,4992.00,4995.78,4961.84,4961.84,125870350
DSEX,12/07/2014,4961.84,4978.58,4930.37,4930.37,104605795
DSEX,12/08/2014,4930.37,4949.28,4923.17,4930.82,108519637
DSEX,12/09/2014,4930.82,4961.60,4930.82,4944.03,116764187
DSEX,12/10/2014,4944.03,4978.73,4933.71,4943.72,113755260
DSEX,12/11/2014,4938.36,4943.73,4906.53,4933.03,33997970
DSEX,12/14/2014,4933.03,4943.08,4887.12,4892.95,56006161
DSEX,12/15/2014,4892.95,4903.98,4873.20,4878.30,65509331
DSEX,12/17/2014,4878.30,4878.65,4830.68,4837.92,71384725
